Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),Heating:NaturalGas [J](Hourly),Water Heater:WaterSystems:NaturalGas [J](Hourly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 01/21  01:00:00,751104810.9467988,10490739.35454788,0.0,687289287.2534273,0.0,0.0,19230751.070568205,19158751.070568205,72000.0 
 01/21  02:00:00,601764258.9107409,8392591.483638306,0.0,540046883.088279,0.0,0.0,17563287.54067087,13592070.607288253,3971216.9333826198 
 01/21  03:00:00,755883376.4656907,10490739.35454788,0.0,692067852.7723192,0.0,0.0,20002691.821869,19930691.821869,72000.0 
 01/21  04:00:00,605253445.3106999,8392591.483638306,0.0,543536069.4882381,0.0,0.0,18035558.35988162,14064405.11476762,3971153.245114001 
 01/21  05:00:00,759655273.7816696,10490739.35454788,0.0,695839750.0882982,0.0,0.0,20466149.518023377,20394149.518023377,72000.0 
 01/21  06:00:00,608009434.8172675,8392591.483638306,0.0,546292058.9948056,0.0,0.0,18327351.01911395,14355977.796715532,3971373.222398421 
 01/21  07:00:00,802163528.1200268,12588887.225457456,0.0,736249856.5557457,0.0,0.0,4174757.3676661,4102757.3676661,72000.0 
 01/21  08:00:00,708988829.8153858,12588887.225457456,0.0,668991861.5478082,0.0,18495296.7032967,506049039.60511818,502077028.615171,3972010.9899471697 
 01/21  09:00:00,686025881.6003171,12588887.225457456,0.0,657223225.4206516,0.0,16183384.61538461,503282848.5483308,499310132.4889555,3972716.05937533 
 01/21  10:00:00,681865856.339775,12588887.225457456,0.0,644971507.8524171,0.0,24275076.923076918,505724580.8430815,497848672.0825339,7875908.76054758 
 01/21  11:00:00,675161150.1221881,12588887.225457456,0.0,641734669.7666984,0.0,20807208.791208786,500890817.7857126,496917243.1922814,3973574.5934312117 
 01/21  12:00:00,674080682.3467871,12588887.225457456,0.0,632562509.6836051,0.0,28898901.098901094,500229238.2746371,496254928.922667,3974309.351970106 
 01/21  13:00:00,668522809.7280471,12588887.225457456,0.0,631628461.2406893,0.0,24275076.923076918,503619244.83729186,495743734.8925785,7875509.9447133359 
 01/21  14:00:00,662229501.810538,12588887.225457456,0.0,634582801.6748287,0.0,15027428.571428566,499324884.4331512,495351323.4579041,3973560.975247088 
 01/21  15:00:00,658085617.0672767,12588887.225457456,0.0,636218697.1513474,0.0,9247648.35164835,499012692.99036768,495039883.1238495,3972809.866518226 
 01/21  16:00:00,654701514.3816518,12588887.225457456,0.0,637458418.6415466,0.0,4623824.175824175,498759616.6785395,494787163.86161819,3972452.8169213745 
 01/21  17:00:00,671411873.8943538,12588887.225457456,0.0,635248022.1102926,0.0,5779780.219780219,498541842.3277497,494569432.48754957,3972409.840200131 
 01/21  18:00:00,705925674.407167,12588887.225457456,0.0,633076266.5791497,0.0,6935736.263736261,494444256.4410168,494372256.4410168,72000.0 
 01/21  19:00:00,665507309.3421593,10071109.780365967,0.0,602111415.2229698,0.0,0.0,6795550.727256184,2823920.1925370164,3971630.5347191675 
 01/21  20:00:00,579019725.7836928,8392591.483638306,0.0,517302349.961231,0.0,0.0,9866292.615145546,5895155.632294209,3971136.9828513369 
 01/21  21:00:00,736757172.71959,10490739.35454788,0.0,672941649.0262185,0.0,0.0,13309399.617258087,13237399.617258087,72000.0 
 01/21  22:00:00,591820912.4779799,8392591.483638306,0.0,530103536.655518,0.0,0.0,14209324.812740703,10237368.648026059,3971956.164714642 
 01/21  23:00:00,745616978.0997487,10490739.35454788,0.0,681801454.4063773,0.0,0.0,16949420.612814245,16877420.612814245,72000.0 
 01/21  24:00:00,597275863.925364,8392591.483638306,0.0,535558488.10290208,0.0,0.0,16735135.142369086,12764688.591614213,3970446.5507548737,16246831482.214919,5705544732.990373,5848.801198061639,2.154525448637005,12.145680360927957,10.37865081410457,0.13647744055619119,30.415597620694759,0.0,0.30301530506715287,0.0,0.0,0.18044668455687488,0.0000922491981935719,0.00045255225960405743,7001.66300951682,0.0,0.0,1682.171737550669 
 07/21  01:00:00,524529057.56962487,8034221.964511294,77190145.57786119,0.0,192989952.8442144,192989952.8442144,72000.0,0.0,72000.0 
 07/21  02:00:00,558561589.7877508,9659574.14008421,109597325.62041423,0.0,192989952.8442144,192989952.8442144,72000.0,0.0,72000.0 
 07/21  03:00:00,546532614.2663013,8050459.780291431,99177464.45875757,0.0,192989952.8442144,192989952.8442144,3970831.772137754,0.0,3970831.772137754 
 07/21  04:00:00,555479096.0306736,9008996.414643625,107165409.58877763,0.0,192989952.8442144,192989952.8442144,72000.0,0.0,72000.0 
 07/21  05:00:00,504566409.4764728,7402594.711099476,84506324.73812104,0.0,192989952.8442144,192989952.8442144,3970647.9475630235,0.0,3970647.9475630235 
